,Model,Family,Params (M),Overall Acc (%),Balanced Acc (%),Macro F1 (%),Weighted F1 (%),Macro Prec (%),Macro Recall (%),MCC,Kappa,ROC-AUC,Train (min)
1,EfficientNet-B5,V1,28.9,98.31,98.65,97.82,98.32,97.11,98.65,0.9782,0.9781,0.9993,
2,EfficientNet-V2-L,V2,117.6,98.91,98.18,98.65,98.91,99.17,98.18,0.9859,0.9859,0.9998,28.3
3,EfficientNet-V2-M,V2,53.2,98.43,98.17,98.05,98.43,97.93,98.17,0.9796,0.9796,0.9996,
4,EfficientNet-B7,V1,64.4,98.67,98.12,97.98,98.68,97.84,98.12,0.9828,0.9828,0.9996,79.8
5,EfficientNet-V2-B3,V2,20.5,97.35,97.92,96.32,97.41,95.16,97.92,0.9659,0.9656,0.999,8.3
6,EfficientNet-V2-S,V2,20.5,98.31,97.82,97.57,98.32,97.34,97.82,0.9781,0.9781,0.9994,11.4
7,EfficientNet-B3,V1,11.1,97.35,97.55,96.51,97.37,95.67,97.55,0.9657,0.9656,0.9992,
8,EfficientNet-B2,V1,8.1,96.86,97.48,96.54,96.87,95.75,97.48,0.9594,0.9593,0.9984,
9,EfficientNet-B1,V1,6.8,97.23,97.18,96.79,97.23,96.43,97.18,0.964,0.964,0.9975,
10,EfficientNet-V2-B2,V2,20.5,96.86,97.17,95.95,96.91,95.0,97.17,0.9595,0.9593,0.9988,6.7
11,EfficientNet-B4,V1,18.0,96.86,96.97,96.14,96.88,95.43,96.97,0.9594,0.9593,0.9989,
12,EfficientNet-B6,V1,41.3,97.23,96.88,96.47,97.24,96.13,96.88,0.9641,0.964,0.999,
13,EfficientNet-B0,V1,4.3,97.1,96.81,95.77,97.16,94.95,96.81,0.9626,0.9625,0.9985,
14,EfficientNet-V2-B1,V2,20.5,96.02,96.22,94.91,96.08,93.93,96.22,0.9486,0.9484,0.9985,6.0
15,EfficientNet-V2-B0,V2,20.5,92.28,93.76,90.21,92.68,88.81,93.76,0.9023,0.9008,0.9963,5.3
